Auction ID,APN,Legal Description,Property Address ,City,Zip Code,Minimum Bid,Auction Ends Apr 26th (ET),Full Address,location,point,latitude,longitude,altitude,Size,Hover_info
994935,018-243-05,B.25 L.1 (494.78 SQ FT) T12S R47E S7 ,,,89003.0," $ 2,055.00 ",  12:00 PM,89003.0,"Beatty, NV 89003, USA","(36.9459159, -116.749645, 0.0)",36.9459159,-116.749645,0.0,0,"0 -- AC, BID:  $ 2,055.00 "
994936,018-244-01,T12S R47E S7 B.27 L.1 & THE N ELY 30' OF L.2  (SAID S WLY LINE OF SAID N ELY 30' OF SAID L.2 IS MEASURED PARALLEL TO & AT RT. ANGLES  TO THE N ELY LINE)                               ,251 N BEACH ST ,BEATTY,89003.0," $ 2,602.00 ",  12:00 PM,"251 N BEACH ST , BEATTY, 89003.0","251 Beach St, Beatty, NV 89003, USA","(36.9107859, -116.7593017, 0.0)",36.9107859,-116.7593017,0.0,0,"0 -- AC, BID:  $ 2,602.00 "
994937,018-551-11,T8S R44E S9-PARCEL #H F#18941  18.71AC ,,,89003.0, $ 788.00 ,  12:00 PM,89003.0,"Beatty, NV 89003, USA","(36.9459159, -116.749645, 0.0)",36.9459159,-116.749645,0.0,18.71,"18.71 -- AC, BID:  $ 788.00 "
994938,019-071-17,T16S R48E S19&20 F#366811 P.3  9.75AC  ,296 N DIABLO DR ,ARMAGOSA VALLEY,89020.0," $ 1,337.00 ",  12:00 PM,"296 N DIABLO DR , ARMAGOSA VALLEY, 89020.0","296 N Diablo Dr, Amargosa Valley, NV 89020, USA","(36.54793900000001, -116.5988446, 0.0)",36.54793900000001,-116.5988446,0.0,9.75,"9.75 -- AC, BID:  $ 1,337.00 "
994939,019-201-24,T16S R49E S36 F#711606 P.2    7.89AC ,4103 E SAGE ST ,ARMAGOSA VALLEY,89020.0," $ 5,013.00 ",  12:00 PM,"4103 E SAGE ST , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,7.89,"7.89 -- AC, BID:  $ 5,013.00 "
994940,019-201-26,T16S R49E S36 F#711606 P.4    9.55AC  ,4233 E SAGE ST ,ARMAGOSA VALLEY,89020.0, $ 614.00 ,  12:00 PM,"4233 E SAGE ST , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,9.55,"9.55 -- AC, BID:  $ 614.00 "
994941,019-281-01,T16S R49E S18 B.1 L.21 LATHROP WELLS MOBILE HOME SUBDIVISION-UNIT #1 .14AC                        ,1734 N HEATHER DR,ARMAGOSA VALLEY,89020.0," $ 1,044.00 ",  12:00 PM,"1734 N HEATHER DR, ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,.14,".14 -- AC, BID:  $ 1,044.00 "
994942,019-291-10,T16S R49E S18 B.2 L.6 LATHROP WELLS MOBILE HOME  SUBDIVISION-UNIT #1 .14AC,1689 N HEATHER DR ,ARMAGOSA VALLEY,89020.0, $ 737.00 ,  12:00 PM,"1689 N HEATHER DR , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,.14,".14 -- AC, BID:  $ 737.00 "
994943,019-291-12,T16S R49E S18 B.2 L.4-LATHROP WELLS MOBILE HOME  SUBDIVISION-UNIT #1 .14AC ,1713 N HEATHER DR ,ARMAGOSA VALLEY,89020.0, $ 731.00 ,  12:10 PM,"1713 N HEATHER DR , ARMAGOSA VALLEY, 89020.0","Amargosa Valley, NV 89020, USA","(36.6437843, -116.4002815, 0.0)",36.6437843,-116.4002815,0.0,.14,".14 -- AC, BID:  $ 731.00 "
994944,019-421-05,T18S R49E S1 GOVT L.2(NW NE) 40AC & GOVT L.6(SW  NE) 37.29AC TOTAL 77.29 AC P#1005070,4889 E SPRING MEADOWS RD S ,ARMAGOSA VALLEY,89020.0," $ 2,090.00 ",  12:10 PM,"4889 E SPRING MEADOWS RD S , ARMAGOSA VALLEY, 89020.0","Spring Meadows Rd, Nevada 89020, USA","(36.4251983, -116.365264, 0.0)",36.4251983,-116.365264,0.0,77.29 ,"77.29  -- AC, BID:  $ 2,090.00 "
